wave,distance,routes,order_per_wave,robot
75,225,"[[52.0, 13.5], [44.25, 22.5], [44.25, 21.0], [44.25, 12.0], [32.5, 6.0], (0, 0), [20.75, 12.0], [28.0, 9.0], [28.0, 16.5], [37.75, 16.5], [52.0, 13.5]]",9,R6
76,202,"[[26, 15.0], [26, 6.0], [24, 12.0], [24, 9.0], (0, 0), [20.75, 15.0], [32.5, 15.0], [44.25, 15.0], [44.25, 13.5], [26, 15.0]]",9,R7
77,203,"[[26, 21.0], [26, 19.5], [24, 18.0], [20.75, 16.5], [20.75, 12.0], [20.75, 9.0], (0, 0), [22.75, 12.0], [22.75, 13.5], [34.5, 13.5], [34.5, 12.0], [45.5, 16.5], [26, 21.0]]",9,R8
78,161,"[[29.25, 13.5], [24, 21.0], [24, 19.5], [22.75, 13.5], (0, 0), [41.0, 10.5], [29.25, 13.5]]",9,R9
79,243,"[[22.75, 12.0], [41.0, 13.5], [41.0, 15.0], [42.25, 16.5], [44.25, 12.0], [47.5, 10.5], [24, 9.0], [20.75, 12.0], (0, 0), [22.75, 12.0]]",9,R10
80,270,"[[41.0, 10.5], [41.0, 15.0], [42.25, 13.5], [39.0, 15.0], [26, 15.0], [24, 18.0], [22.75, 15.0], (0, 0), [28.0, 9.0], [29.25, 10.5], [44.25, 9.0], [41.0, 10.5]]",9,R1
81,201,"[[37.75, 21.0], [32.5, 21.0], [26, 22.5], [24, 19.5], [22.75, 12.0], (0, 0), [20.75, 12.0], [31.25, 12.0], [34.5, 10.5], [37.75, 21.0]]",9,R2
82,263,"[[20.75, 9.0], [20.75, 22.5], [24, 21.0], [24, 13.5], [32.5, 18.0], [34.5, 21.0], [45.5, 16.5], [45.5, 13.5], [52.0, 9.0], [41.0, 13.5], [26, 13.5], [26, 10.5], (0, 0), [20.75, 9.0]]",9,R3
83,74,"[[24, 13.5], (0, 0), [24, 13.5]]",9,R4
84,235,"[[26, 21.0], [19.5, 21.0], [22.75, 13.5], [22.75, 12.0], (0, 0), [44.25, 6.0], [48.75, 9.0], [45.5, 13.5], [45.5, 22.5], [42.25, 16.5], [37.75, 13.5], [26, 21.0]]",9,R5
85,130,"[(0, 0), [44.25, 21.0], (0, 0)]",9,R6
86,189,"[[19.5, 21.0], [26, 21.0], [34.5, 15.0], [34.5, 12.0], [44.25, 22.5], [37.75, 15.0], [37.75, 10.5], (0, 0), [22.75, 15.0], [19.5, 21.0]]",9,R7
87,189,"[[47.5, 6.0], [44.25, 10.5], [32.5, 22.5], [32.5, 21.0], [20.75, 21.0], [19.5, 21.0], (0, 0), [31.25, 10.5], [47.5, 6.0]]",9,R8
88,252,"[[44.25, 12.0], [44.25, 16.5], [47.5, 18.0], [41.0, 13.5], [41.0, 18.0], [35.75, 22.5], [31.25, 16.5], [19.5, 21.0], [20.75, 9.0], (0, 0), [39.0, 9.0], [42.25, 9.0], [42.25, 12.0], [44.25, 12.0]]",9,R9
89,157,"[[34.5, 9.0], [45.5, 13.5], [19.5, 21.0], (0, 0), [34.5, 9.0]]",9,R10
90,187,"[(0, 0), [20.75, 9.0], [34.5, 15.0], [41.0, 15.0], [37.75, 13.5], [24, 10.5], (0, 0)]",9,R1
91,120,"[[31.25, 13.5], [35.75, 13.5], (0, 0), [31.25, 13.5]]",9,R2
92,111,"[(0, 0), [19.5, 21.0], [31.25, 16.5], (0, 0)]",9,R3
93,179,"[[39.0, 12.0], [34.5, 15.0], [19.5, 21.0], [19.5, 19.5], [15.25, 21.0], [22.75, 12.0], (0, 0), [39.0, 12.0]]",9,R4
94,152,"[[24, 9.0], [24, 16.5], [24, 18.0], [19.5, 21.0], [22.75, 13.5], [32.5, 21.0], [32.5, 6.0], (0, 0), [24, 9.0]]",9,R5
95,127,"[[39.0, 9.0], [37.75, 21.0], (0, 0), [39.0, 9.0]]",9,R6
96,215,"[(0, 0), [20.75, 10.5], [19.5, 21.0], [32.5, 15.0], [32.5, 21.0], [34.5, 16.5], [45.5, 19.5], [44.25, 16.5], [47.5, 6.0], (0, 0)]",9,R7
97,220,"[[22.75, 12.0], [22.75, 15.0], [24, 19.5], [24, 9.0], [42.25, 6.0], [41.0, 13.5], [41.0, 15.0], [32.5, 19.5], [31.25, 12.0], [20.75, 9.0], (0, 0), [22.75, 12.0]]",9,R8
98,252,"[[34.5, 12.0], [39.0, 12.0], [42.25, 9.0], [44.25, 6.0], [45.5, 13.5], [45.5, 15.0], [41.0, 15.0], [19.5, 21.0], [24, 13.5], (0, 0), [34.5, 12.0]]",9,R9
99,183,"[[20.75, 6.0], (0, 0), [22.75, 13.5], [19.5, 21.0], [41.0, 15.0], [41.0, 16.5], [32.5, 21.0], [24, 10.5], [20.75, 6.0]]",9,R10
100,202,"[[20.75, 9.0], [20.75, 12.0], [24, 9.0], [24, 12.0], [24, 15.0], [24, 18.0], [26, 18.0], [44.25, 22.5], [42.25, 12.0], [19.5, 12.0], (0, 0), [20.75, 9.0]]",9,R1
101,245,"[[19.5, 12.0], [20.75, 13.5], [20.75, 18.0], [22.75, 13.5], [41.0, 22.5], [41.0, 15.0], [47.5, 18.0], [47.5, 21.0], [44.25, 12.0], [42.25, 12.0], (0, 0), [19.5, 12.0]]",9,R2
