wave,distance,routes,order_per_wave,robot
81,201,"[(0, 0), [20.75, 12.0], [31.25, 12.0], [34.5, 10.5], [37.75, 21.0], [32.5, 21.0], [26, 22.5], [24, 19.5], [22.75, 12.0], (0, 0)]",9,R2
82,263,"[(0, 0), [20.75, 9.0], [20.75, 22.5], [26, 13.5], [26, 10.5], [52.0, 9.0], [45.5, 13.5], [45.5, 16.5], [41.0, 13.5], [34.5, 21.0], [32.5, 18.0], [24, 21.0], [24, 13.5], (0, 0)]",9,R2
83,74,"[(0, 0), [24, 13.5], (0, 0)]",9,R2
84,235,"[(0, 0), [22.75, 12.0], [22.75, 13.5], [19.5, 21.0], [26, 21.0], [37.75, 13.5], [42.25, 16.5], [45.5, 22.5], [45.5, 13.5], [48.75, 9.0], [44.25, 6.0], (0, 0)]",9,R2
85,130,"[(0, 0), [44.25, 21.0], (0, 0)]",9,R2
86,189,"[(0, 0), [22.75, 15.0], [19.5, 21.0], [26, 21.0], [34.5, 12.0], [34.5, 15.0], [44.25, 22.5], [37.75, 15.0], [37.75, 10.5], (0, 0)]",9,R2
87,189,"[(0, 0), [19.5, 21.0], [20.75, 21.0], [32.5, 21.0], [32.5, 22.5], [44.25, 10.5], [47.5, 6.0], [31.25, 10.5], (0, 0)]",9,R2
88,252,"[(0, 0), [20.75, 9.0], [19.5, 21.0], [31.25, 16.5], [35.75, 22.5], [41.0, 13.5], [41.0, 18.0], [47.5, 18.0], [44.25, 16.5], [44.25, 12.0], [42.25, 9.0], [42.25, 12.0], [39.0, 9.0], (0, 0)]",9,R2
89,157,"[(0, 0), [19.5, 21.0], [45.5, 13.5], [34.5, 9.0], (0, 0)]",9,R2
90,187,"[(0, 0), [20.75, 9.0], [24, 10.5], [34.5, 15.0], [41.0, 15.0], [37.75, 13.5], (0, 0)]",9,R2
91,120,"[(0, 0), [31.25, 13.5], [35.75, 13.5], (0, 0)]",9,R2
92,111,"[(0, 0), [19.5, 21.0], [31.25, 16.5], (0, 0)]",9,R2
93,179,"[(0, 0), [22.75, 12.0], [15.25, 21.0], [19.5, 19.5], [19.5, 21.0], [34.5, 15.0], [39.0, 12.0], (0, 0)]",9,R2
94,158,"[(0, 0), [32.5, 6.0], [32.5, 21.0], [24, 18.0], [24, 16.5], [24, 9.0], [19.5, 21.0], [22.75, 13.5], (0, 0)]",9,R2
95,127,"[(0, 0), [39.0, 9.0], [37.75, 21.0], (0, 0)]",9,R2
96,215,"[(0, 0), [20.75, 10.5], [19.5, 21.0], [32.5, 15.0], [32.5, 21.0], [34.5, 16.5], [45.5, 19.5], [44.25, 16.5], [47.5, 6.0], (0, 0)]",9,R2
97,220,"[(0, 0), [20.75, 9.0], [31.25, 12.0], [32.5, 19.5], [41.0, 15.0], [41.0, 13.5], [42.25, 6.0], [24, 9.0], [24, 19.5], [22.75, 15.0], [22.75, 12.0], (0, 0)]",9,R2
98,252,"[(0, 0), [24, 13.5], [19.5, 21.0], [41.0, 15.0], [45.5, 15.0], [45.5, 13.5], [44.25, 6.0], [42.25, 9.0], [39.0, 12.0], [34.5, 12.0], (0, 0)]",9,R2
99,183,"[(0, 0), [20.75, 6.0], [24, 10.5], [41.0, 16.5], [41.0, 15.0], [32.5, 21.0], [19.5, 21.0], [22.75, 13.5], (0, 0)]",9,R2
100,202,"[(0, 0), [19.5, 12.0], [42.25, 12.0], [44.25, 22.5], [26, 18.0], [24, 18.0], [24, 15.0], [24, 12.0], [24, 9.0], [20.75, 12.0], [20.75, 9.0], (0, 0)]",9,R2
